geom_x_y;genre;espece;adresse;idbase;typeemplacement;domanialite;arrondissement;complementadresse;numero;idemplacement;circonferenceencm;hauteurenm;stadedeveloppement;pepiniere;varieteoucultivar;dateplantation;remarquable;objectid;libellefrancais
48.8731110898,2.24886478886;Fagus;sylvatica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002354.0;Arbre;Jardin;BOIS DE BOULOGNE;16-17;;000701004;231.0;16.0;M;Inconnue;''Pendula'';1868-01-01T00:09:21+00:00;1;152263;Hêtre
48.8875264747,2.31617875419;Platanus;orientalis;SQUARE DES BATIGNOLLES;135378.0;Arbre;Jardin;PARIS 17E ARRDT;17-08;;00000187;452.0;30.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;202245;Platane
48.8797546767,2.38066315428;Sequoiadendron;giganteum;PARC DES BUTTES CHAUMONT;102837.0;Arbre;Jardin;PARIS 19E ARRDT;19-04;;K0660013;510.0;27.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;7353;Sequoia
48.8658336196,2.40008292539;Corylus;colurna;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;121940.0;Arbre;Jardin;PARIS 20E ARRDT;20-06;;000201005;160.0;16.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;26812;Noisetier de Byzance
48.8844740542,2.34306606827;Aesculus;hippocastanum;SQUARE LOUISE MICHEL;112503.0;Arbre;Jardin;PARIS 18E ARRDT;18-14;;00000002;365.0;21.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;92132;Marronnier
48.8521900449,2.34729161483;Robinia;pseudoacacia;SQUARE RENE VIVIANI;124358.0;Arbre;Jardin;PARIS 5E ARRDT;;;00000058;365.0;9.0;M;Inconnue;;1602-01-01T00:09:21+00:00;1;153281;Robinier
48.8614740968,2.35437470573;Aesculus;hippocastanum;JARDIN ANNE FRANCK / 14 IMPASSE BERTHAUD;134435.0;Arbre;Jardin;PARIS 3E ARRDT;;;00000001;76.0;8.0;J;Inconnue;;2006-01-01T01:00:00+00:00;1;169672;Marronnier
48.8322968473,2.4106783229;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;2002365.0;Arbre;Jardin;BOIS DE VINCENNES;12-07;;12-07;399.0;35.0;M;Inconnue;;1860-01-01T00:09:21+00:00;1;197582;Platane
48.876921106,2.34671864206;Platanus;x hispanica;SQUARE MONTHOLON / 79 BIS RUE LA FAYETTE;317250.0;Arbre;Jardin;PARIS 9E ARRDT;;;000108001;465.0;25.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;42072;Platane
48.8577764958,2.31452314446;Platanus;x hispanica;SQUARE D''AJACCIO;109021.0;Arbre;Jardin;PARIS 7E ARRDT;07-13;;00000039;480.0;25.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;48345;Platane
